tick,H_F,H_M,C_F,C_M,sum_nutrition,H_g_speed,C_g_speed,H_g_vision,C_g_vision,H_g_repro,C_g_repro
840,71,55,0,1,28720.745342253715,0.5018770033672588,0.861979573096193,0.5045553970914217,0.14350504712652368,0.489534911439338,0.46399819386522134
850,71,56,0,1,28694.89955278817,0.5020164684507482,0.861979573096193,0.5043299852316229,0.14350504712652368,0.4874491954297015,0.46399819386522134
860,71,56,0,1,28655.985267075426,0.5020164684507482,0.861979573096193,0.5043299852316229,0.14350504712652368,0.4874491954297015,0.46399819386522134
870,71,56,0,0,28625.809800506104,0.5020164684507482,0.0,0.5043299852316229,0.0,0.4874491954297015,0.0
880,71,56,0,0,28602.065307870133,0.5020164684507482,0.0,0.5043299852316229,0.0,0.4874491954297015,0.0
890,71,56,0,0,28596.137938159067,0.5020164684507482,0.0,0.5043299852316229,0.0,0.4874491954297015,0.0
900,71,56,0,0,28590.994413333432,0.5020164684507482,0.0,0.5043299852316229,0.0,0.4874491954297015,0.0
910,71,56,0,0,28579.56833892767,0.5020164684507482,0.0,0.5043299852316229,0.0,0.4874491954297015,0.0
920,71,56,0,0,28571.957946863142,0.5020164684507482,0.0,0.5043299852316229,0.0,0.4874491954297015,0.0
930,71,56,0,0,28564.069944178613,0.5020164684507482,0.0,0.5043299852316229,0.0,0.4874491954297015,0.0
940,71,56,0,0,28553.67890275658,0.5020164684507482,0.0,0.5043299852316229,0.0,0.4874491954297015,0.0
950,72,56,0,0,28539.51433942221,0.4991490682150963,0.0,0.5043390443174253,0.0,0.4896342665575913,0.0
960,73,56,0,0,28514.487934281264,0.502753554111998,0.0,0.5048184386970304,0.0,0.4887709921451167,0.0
970,73,56,0,0,28493.5739765319,0.502753554111998,0.0,0.5048184386970304,0.0,0.4887709921451167,0.0
980,73,56,0,0,28473.296210704026,0.502753554111998,0.0,0.5048184386970304,0.0,0.4887709921451167,0.0
990,73,56,0,0,28460.540510414212,0.502753554111998,0.0,0.5048184386970304,0.0,0.4887709921451167,0.0
1000,73,58,0,0,28441.668169853245,0.49986165509752495,0.0,0.5056744441219109,0.0,0.4878639631354744,0.0
